P,T,DenL,DenG,VisL,VisG,ST,ID,Roughness,Ang,Vsl,Vsg,Flow_label
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-70.0,0.635657,26.2002,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.885128,9.0478,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.0750105,0.737665,2.0
450.0,20.0,1025.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,2.0,1.00357,5.98299,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.00977078,9.60974,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-1.0,2.5,2.5,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.63915,0.0532424,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,2.5,0.25,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.122983,1.73581,2.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,0.0790864,0.23391,3.0
3218.5,61.0,799.0866895,23.9,0.003217863,1.29e-05,0.015,0.0549,0.0,90.0,0.338345958,0.39078584,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,15.0,0.702973,0.912843,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,2.0908,0.134746,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,0.63,16.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.422824,24.4868,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,4.0,0.1,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,2.27979,4.28266,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,1.0,10.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.004,2.5,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,2.0206,0.596974,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,50.0,0.652859,15.7307,2.0
-80.6,-256.0,77.04160247,0.125,1.17e-05,5.07e-07,0.07,0.00874,0.0,1.5,0.0442297,3.07523,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.153086,15.1673,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,2.56699,0.0234618,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,20.0,0.0102274,0.986391,2.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,1.0,0.079075,1.35142,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,0.12195122,1.103658537,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-1.0,1.38651,0.245963,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,0.0101358,0.016085,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,4.0,1.6,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,1.35773,0.43998,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.15,0.15,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,20.0,1.67729,4.03804,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,90.0,1.0617,9.69691,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0954,0.0,0.0,0.320121951,49.08536585,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-30.0,3.98645,1.54361,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,2.66402,0.157503,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,90.0,0.0110338,0.0977284,2.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,0.307831,0.227923,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,80.0,0.00224679,10.0084,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,2.30694,10.213,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,6.3,1.0,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,5.0,1.03042,4.96609,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-5.0,0.615936,1.7429,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,2.5,6.3,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-5.0,0.0571529,4.80914,4.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,1.0,0.916554,1.78166,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.16,0.4,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,1.0,1.0,25.0,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,5.0,1.36418,0.912858,2.0
490.0,35.0,1000.0,5.52,0.001,3.35e-06,0.07,0.0549,0.0,0.0,5.26249,0.220673,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,1.06196,0.380913,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,9.0,0.903224,0.0702826,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,90.0,1.63448,2.35527,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,0.004,0.1,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,0.016,0.016,3.0
3207.4,61.9,791.5094785,24.5,0.003217863,1.29e-05,0.015,0.0549,0.0,0.0,0.307095412,1.600588336,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.881683,5.09941,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.16,16.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,10.0,4.0,0.4,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,0.01,0.04,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,5.0,3.01982,0.0925648,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.0016,25.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.25,4.0,0.4,1.0
3214.5,61.4,799.1233558,23.4,0.003217863,1.29e-05,0.015,0.0549,0.0,90.0,0.300976311,0.165661983,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,5.0,0.1,6.3,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,1.60353,0.0605316,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,1.71833,0.964662,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-9.0,0.490445,0.0980138,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,0.397191,25.4239,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,1.5,25.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,0.62573,24.2087,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.0292356,10.6529,4.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.0294273,0.243623,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,1.0,0.12062,5.58914,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.5,0.04,25.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,5.0,0.0025,0.63,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,50.0,2.4808,1.6041,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.0294273,14.4962,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,1.64346,1.55471,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-1.0,0.20707,0.243281,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.01,4.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,1.6,1.6,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,1.53323,0.252512,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.457413,11.5057,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.00628285,4.00104,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.25,0.00891527,0.4,2.0
270.0,54.0,1059.0,5.02,0.001,1.6e-05,0.07,0.0972,0.0,-2.0,0.0981799,1.406,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.0238524,0.0961684,2.0
37.7,22.9,885.6258056,1.64,0.005303288,1.9e-05,0.03,0.0501,0.0,-2.0,0.0108,15.8,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,9.0,0.357996,0.913789,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,0.0987154,13.0442,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,20.0,3.68473,2.53704,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,5.0,1.99426,1.00042,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,10.0,0.004,0.6,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-1.0,0.01,2.5,4.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,9.0,0.208955,24.2957,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,15.0,0.308884,23.6014,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,10.0,0.004,1.0,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-1.0,0.210469,27.2613,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,2.0,0.1,0.1,2.0
259.2,17.8,814.0,3.0,0.0019,1.9e-05,0.029,0.0762,0.0,0.0,0.911352,6.592824,2.0
100.0,25.0,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0.0,0.0,0.190189477,1.048272731,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,0.1062,0.255367,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,80.0,0.0145902,6.13711,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,0.01,0.1,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,0.928743,2.48451,2.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,0.219512195,1.103658537,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,0.0404173,25.587,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.256248,24.5583,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,5.0,0.1,16.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,0.643025,0.154578,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-9.0,0.0501016,9.58142,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,5.0,0.0063,4.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,0.004,0.1,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.4,0.04,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-30.0,0.679253,4.11192,3.0
450.0,20.0,1025.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,2.0,0.0977498,1.08478,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,1.5,0.1,2.0
9000.0,30.0,700.5,103.0,0.000325,1.93e-05,0.013,0.189,0.0,90.0,1.02533,0.216401,5.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.205288,0.909625,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.00975157,0.158739,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,6.3,1.6,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-5.0,0.363299,9.69146,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,1.0,1.0,10.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-90.0,1.59769,16.4901,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,0.006,15.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-1.0,2.5,6.3,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,2.0,0.0025,16.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,10.0,1.5,0.6,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,0.604806,0.619604,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.00392529,0.157104,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,0.25,1.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,0.25,16.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,0.6,0.015,3.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,0.0737095,0.156117,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.210969,17.6831,0.0
3149.4,54.1,794.768477,23.2,0.003217863,1.29e-05,0.015,0.0549,0.0,1.03,0.10558306,3.020453338,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,2.55116,0.246516,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,1.84472,1.97706,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,80.0,2.48045,0.657093,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,1.6,0.1,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,0.00952002,0.0605231,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,15.0,0.00910298,0.0962716,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.448486,0.0914753,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,50.0,1.03984,0.0983691,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,5.0,0.0063,0.1,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,20.0,2.44653,3.91428,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,0.6,15.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,0.00982172,0.964662,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-5.0,0.4,16.0,0.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,0.156964,2.96119,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,2.5,1.6,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,1.0,0.122446,25.483,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,5.0,0.514241,9.83484,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,0.04,10.0,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.5,4.0,0.025,1.0
1478.7,61.4,794.4252633,9.62,0.003217863,1.29e-05,0.015,0.0549,0.0,0.0052,0.101108201,1.826262646,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.00394576,0.0622922,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.4,0.016,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,1.0,0.610861,5.04807,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.171279,0.0233631,2.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,0.0,3.34044,0.166111,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,30.0,0.0456418,0.0817247,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,1.5,0.0399654,2.0
790.0,20.0,1025.0,14.9,0.001,1.6e-05,0.07,0.0972,0.0,0.0,0.492754,5.57509,2.0
2000.0,30.0,702.3,23.4,0.000359,1.77e-05,0.019,0.189,0.0,90.0,0.624236,10.2195,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,0.0,0.113575,0.545987,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.63,10.0,0.0
450.0,54.0,1059.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,5.0,1.52099,4.01964,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-1.0,0.36682,2.61211,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,70.0,0.00386915,15.9298,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-80.0,1.57097,0.0154459,2.0
100.0,25.0,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0.0,0.0,0.590631489,1.502367849,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-5.0,2.5,0.063,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-9.0,0.914239,26.9584,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-5.0,0.01,0.1,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.0996948,0.148989,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,0.0025,0.1,4.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,1.204268293,132.3170732,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,2.0,0.0025,0.025,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,50.0,0.00400329,2.45031,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.431711,15.2882,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,50.0,0.620301,24.9514,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,-9.0,0.490445,0.194975,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-90.0,1.08902,0.251566,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,0.00612505,9.63578,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,2.5,0.6,1.0
100.0,25.0,879.8,1.3,0.483,1.85e-05,0.03,0.0508,0.0,0.0,0.512589981,1.130645599,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.0016,16.0,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,9.0,0.1913,0.0989724,2.0
450.0,54.0,1059.0,8.25,0.001,1.6e-05,0.07,0.0972,0.0,5.0,1.03077,8.85436,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.5,0.0025,25.0,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,80.0,0.103663,0.100084,5.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,3.0,1.11319,0.930572,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-1.0,1.63,2.5,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,1.6,25.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-70.0,0.101615,24.829,0.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-1.0,3.08936,0.244103,1.0
236.5,26.1,814.0,3.0,0.0019,1.9e-05,0.029,0.0762,0.0,0.0,0.1524,1.161288,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.6,4.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,30.0,0.946,15.7938,2.0
490.0,35.0,1000.0,5.52,0.001,3.35e-06,0.07,0.0549,0.0,0.0,0.49525,0.649382,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-80.0,0.396494,1.0106,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.0294273,0.456482,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,1.0,0.618147,1.71544,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.0982655,0.0253688,5.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.0,1.0,10.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-70.0,0.166134,10.2324,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-1.0,0.4,4.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,2.46932,0.940432,1.0
100.0,20.0,1000.0,1.12,0.001,1.5e-05,0.07,0.0254,0.0,0.0,0.076219512,6.768292683,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,3.61498,0.991377,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,70.0,1.57627,6.28881,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.5,0.004,0.1,2.0
2060.0,26.9,1000.0,23.4,0.001,2.69e-06,0.07,0.1064,0.0,3.0,0.0820124,0.165482,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-5.0,1.0,10.0,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,90.0,0.960873,1.55638,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,20.0,1.69245,2.54275,2.0
790.0,54.0,1059.0,14.9,0.001,1.6e-05,0.07,0.0972,0.0,-2.0,0.502671,5.44989,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,1.0,4.0,2.0
9000.0,30.0,700.5,103.0,0.000325,1.93e-05,0.013,0.189,0.0,90.0,0.653456,4.04517,2.0
28.8,24.2,884.7052335,1.53,0.005075307,1.9e-05,0.03,0.0501,0.0,-2.0,0.0057,10.5,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.25,0.4,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-90.0,0.391374,0.244131,0.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.0,0.15,0.1,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,1.0,0.916313,5.62341,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,90.0,2.65878,0.0923342,1.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,15.0,4.00892,0.153993,1.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,-5.0,0.119958,0.8884,4.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,0.25,0.01,10.0,3.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0512,0.0,9.0,1.00553,0.19797,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,85.0,0.0102569,0.375182,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,10.0,0.25,0.25,2.0
350.0,22.0,860.0,4.13,0.007,1e-05,0.032,0.0258,0.0,0.0,0.881683,0.136884,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-90.0,3.7474,10.2145,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.025,0.0,-10.0,0.015,10.0,3.0
490.0,35.0,1000.0,5.52,0.001,3.35e-06,0.07,0.0549,0.0,0.0,0.112689,3.92419,2.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,-10.0,0.63,0.1,3.0
100.0,25.0,1000.0,1.18,0.001,1.5e-05,0.07,0.051,0.0,0.25,1.0,6.3,2.0
